Session;N_Antagene;Type analyse;Tri;N° Animal 2020;Sexe;Assignation espèce;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;LOT153;lot;3-Exploitable;S04-049;Mâle;timidus;630295;2020/03/09 00:00:00.000;5;2020-04-20;laupon;123837;laupon_5;;;;;;;
S04_2020;LOT154;lot;3-Exploitable;S04-051;Femelle;timidus;655728;2020/03/09 15:36:22.000;5;2020-04-20;laupon;123841;laupon_5;;;;;;;
S04_2020;LOT155;lot;3-Exploitable;S04-140;Femelle;timidus;656173;2020/03/09 00:00:00.000;5;2020-04-20;laupon;124420;laupon_5;;;;;;;
S04_2020;LOT156;lot;3-Exploitable;S04-049;Mâle;timidus;628769;2020/03/09 00:00:00.000;5;2020-04-20;laupon;125000;laupon_5;;;;;;;
S04_2020;LOT157;lot;3-Exploitable;S04-052;Mâle;timidus;655700;2020/03/09 11:33:29.000;5;2020-04-20;laupon;125580;laupon_5;;;;;;;
S04_2020;LOT158;lot;3-Exploitable;S04-052;Mâle;timidus;655705;2020/03/09 11:58:40.000;5;2020-04-20;laupon;126160;laupon_5;;;;;;;
S04_2020;LOT159;lot;3-Exploitable;S04-048;Mâle;timidus;655655;2020/01/23 14:31:20.000;46;2020-04-20;adus;126405;adus_46;;;;;;;
S04_2020;LOT160;lot;3-Exploitable;S04-053;Femelle;timidus;628762;2020/03/09 14:18:08.000;5;2020-04-20;laupon;126741;laupon_5;;;;;;;
S04_2020;LOT161;lot;3-Exploitable;S04-053;Femelle;timidus;655702;2020/03/09 12:27:18.000;5;2020-04-20;laupon;126743;laupon_5;;;;;;;
S04_2020;LOT162;lot;3-Exploitable;S04-051;Femelle;timidus;655747;2020/03/09 00:00:00.000;5;2020-04-20;laupon;126747;laupon_5;;;;;;;
S04_2020;LOT163;lot;3-Exploitable;S04-052;Mâle;timidus;628759;2020/03/09 12:12:40.000;5;2020-04-20;laupon;127319;laupon_5;;;;;;;
S04_2020;LOT164;lot;3-Exploitable;S04-054;Femelle;timidus;655659;2020/01/22 12:35:57.000;32;2020-04-20;millefonts;129290;millefonts_32;;;;;;;
S04_2020;LOT165;lot;3-Exploitable;S04-054;Femelle;timidus;626193;2020/01/22 13:10:58.000;32;2020-04-20;millefonts;129869;millefonts_32;;;;;;;
