Session;N_Antagene;Région;Population;Projet;Code_lot ou Code_ech Client;Type analyse;Type prélèvement;Tri;N° Animal 2020;Sexe;Taux d'amplification ou IQ;Marker OK;Nb réplicats;Assignation espèce;Probabilité timidus;CI95_bottom timidus;CI95_up timidus;Commentaires ANTAGENE;LSA2;LSA3;LSA6;LSA8;OCELAMB;OCELS1B;SAT08;SAT12;SAT13;SOL30;SOL33;SOL8;ZFXY-SRY;Nb crottes lot;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;630449;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-008;Femelle;1;12;1;timidus;0,998;0,978;1;;248248;206218;172172;189189;117117;160160;200200;114114;129129;174174;220220;116118;XX;1;-;2020-02-06;;;;;;;;;1898;1003561;6351569;
S04_2020;630450;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-080;Mâle;1;12;1;timidus;0,997;0,968;1;;245245;216216;172172;189189;117117;160172;200200;114130;129129;174182;220220;116116;XY;1;-;2020-02-09;;;;;;;;;1882;998727;6354838;
S04_2020;630451;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-081;Femelle;1;12;1;timidus;0,996;0,955;1;;248253;216218;172172;191191;117121;160174;200200;114114;125127;172174;215220;116116;XX;1;-;2020-02-09;;;;;;;;;2178;997989;6355158;
S04_2020;630452;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-082;Mâle;1;12;1;timidus;0,997;0,963;1;;248248;218218;172172;191191;117117;158160;200200;118130;129129;174182;215220;116116;XY;1;-;2020-02-09;;;;;;;;;2686;997359;6355216;
S04_2020;630453;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-032;Mâle;0,923076923076923;11;1;timidus;0,995;0,945;1;;244248;210210;172172;191191;117117;160160;200200;130130;000000;174174;220220;116116;XY;1;-;2020-02-09;;;;;;;;;2340;997677;6355776;
S04_2020;630454;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-083;Femelle;1;12;1;timidus;0,997;0,97;1;;243244;206216;172172;189191;117117;160160;200200;130130;127129;174174;215215;116116;XX;1;-;2020-02-09;;;;;;;;;1779;999028;6354689;
S04_2020;630460;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-084;Femelle;0,923076923076923;11;1;timidus;0,979;0,793;1;;243248;206216;172172;189191;117117;158160;200200;114114;000000;174174;218218;116119;XX;1;-;2020-02-14;;;;;;;;;2195;998919;6356979;
S04_2020;630461;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-085;Femelle;1;12;1;timidus;0,996;0,951;1;;243248;208216;172172;191191;117117;160160;200200;114130;127129;174174;220220;116116;XX;1;-;2020-02-12;;;;;;;;;2021;1000215;6353618;
S04_2020;630466;Mercantour;;F414;;individuelle;fèces silica;1-Non exploitable;NA;-;0;0;1;NA;NA;NA;NA;;000000;000000;000000;000000;000000;000000;000000;000000;000000;000000;000000;000000;000000;1;-;2020-02-19;;;;;;;;;2649;1003003;6358457;
S04_2020;630468;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-086;Femelle;1;12;1;timidus;0,997;0,959;1;;243243;210216;172172;189191;117117;160174;200200;114122;125127;174182;220220;116116;XX;1;-;2020-02-12;;;;;;;;;1843;999972;6353424;
S04_2020;630469;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-087;Mâle;1;12;1;timidus;0,995;0,939;1;;243243;210210;172172;189191;117117;162174;200200;114122;125127;174182;215220;116118;XY;1;-;2020-02-12;;;;;;;;;1759;999782;6353230;
S04_2020;630470;Mercantour;;F414;;individuelle;fèces silica;1-Non exploitable;NA;-;0,384615384615385;5;1;NA;NA;NA;NA;;000000;000000;172172;000000;117117;160160;200200;000000;000000;000000;000000;108108;000000;1;-;2020-02-13;;;;;;;;;1719;997745;6349494;
S04_2020;630471;Mercantour;;F414;;individuelle;fèces silica;1-Non exploitable;NA;-;0,230769230769231;3;1;NA;NA;NA;NA;;000000;000000;172172;000000;000000;000000;200200;000000;000000;000000;000000;108124;000000;1;-;2020-02-13;;;;;;;;;1905;996997;6349324;
S04_2020;630472;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-088;Femelle;0,846153846153846;10;1;timidus;0,996;0,949;1;;000000;216218;172172;189189;117117;160162;200200;118130;000000;174182;215220;116116;XX;1;-;2020-02-13;;;;;;;;;1963;996306;6348841;
S04_2020;630473;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-089;Femelle;1;12;1;timidus;0,997;0,969;1;;244248;216218;172172;189189;117117;160172;200200;114118;129129;174182;215215;116116;XX;1;-;2020-02-13;;;;;;;;;2030;996609;6348341;
S04_2020;630474;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-090;-;0,692307692307692;9;1;timidus;0,993;0,917;1;;000000;218218;172172;000000;117117;162172;200200;114130;000000;182182;215220;116116;000000;1;-;2020-02-13;;;;;;;;;1922;997846;6348487;
S04_2020;630479;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-009;Femelle;1;12;1;timidus;0,998;0,974;1;;244248;206218;172172;189189;117117;160160;200200;122130;127129;174174;215220;116116;XX;1;-;2020-01-23;;;;;;;;;2255;1002149;6356707;
S04_2020;630480;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-091;Femelle;1;12;1;timidus;0,997;0,969;1;;243248;206208;172172;189191;117117;152160;200200;114114;129129;174182;215215;116116;XX;1;-;2020-02-06;;;;;;;;;2059;1003953;6350609;
S04_2020;630481;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-092;Mâle;1;12;1;timidus;0,998;0,979;1;;248248;216216;172172;189189;117117;158160;200200;114130;125129;174174;215215;116118;XY;1;-;2020-02-06;;;;;;;;;1973;1004551;6350852;
S04_2020;630594;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-093;Mâle;1;12;1;europaeus;0,002;0;0,023;;250257;210210;172172;191191;117119;168170;200204;130138;122124;186197;218218;122124;XY;1;-;2020-03-07;;;;;;Mansons;;Cantonnière;1958;999958;6356888;
S04_2020;630597;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-009;Femelle;1;12;1;timidus;0,998;0,974;1;;244248;206218;172172;189189;117117;160160;200200;122130;127129;174174;215220;116116;XX;1;-;2020-03-07;;;;;;Mansons;;Roche trouée;0;1002375;6356544;
S04_2020;655506;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-010;Mâle;0,769230769230769;9;1;timidus;0,997;0,967;1;;000000;216216;172172;189189;117117;160160;200200;114130;000000;174174;000000;116119;XY;1;-;2020-02-19;;;;;;;;;2470;1002689;6358048;
S04_2020;655507;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-094;Femelle;0,923076923076923;11;1;timidus;0,997;0,966;1;;243248;206208;172172;189189;117121;160160;200200;114118;000000;164172;220220;118118;XX;1;-;2020-02-19;;;;;;;;;2359;1002449;6357535;
S04_2020;655511;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-012;Mâle;0,923076923076923;11;1;timidus;0,997;0,968;1;;243244;210210;172172;189191;117117;160160;200200;114122;000000;174174;215215;116116;XY;1;-;2020-02-19;;;;;;;;;2245;1001896;6358554;
S04_2020;655551;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-013;Mâle;0,846153846153846;10;1;timidus;0,997;0,97;1;;243244;216216;172172;189189;117117;160160;200200;114118;000000;174174;000000;116116;XY;1;-;2020-01-08;;;;;;;;;2480;1004047;6354321;
S04_2020;655555;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-013;Mâle;0,846153846153846;10;1;timidus;0,997;0,971;1;;243244;216216;172172;189189;117117;160160;200200;114118;000000;174174;000000;116116;XY;1;-;2020-01-08;;;;;;;;;2574;1004625;6353540;
S04_2020;655563;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-095;-;0,923076923076923;12;1;timidus;0,997;0,96;1;;243244;206210;172172;189191;117117;160160;200200;114114;122126;174174;215215;116118;000000;1;-;2020-02-19;;;;;;;;;2085;1001581;6358351;
S04_2020;655576;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-096;Femelle;0,846153846153846;10;1;timidus;0,997;0,967;1;;000000;206206;172172;189189;117117;152174;200200;114130;129129;174174;000000;116119;XX;1;-;;;;;;;Breton;;Pré La Font;;1007000;6380912;
S04_2020;655577;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-097;Mâle;1;12;1;europaeus;0,003;0;0,039;;239255;210210;172172;191191;117125;170176;200200;130134;122122;186191;218218;116124;XY;1;-;;;;;;;Breton;;Bayasse;;998602;6364293;
S04_2020;655580;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-014;Mâle;1;12;1;timidus;0,992;0,893;1;;243243;206206;172172;189189;117117;162166;200200;114130;125127;174174;215218;116116;XY;1;-;;;;;;;Breton;;Cabane Moutière;;1001331;6364676;
S04_2020;655582;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-015;Femelle;1;12;1;timidus;0,998;0,977;1;;244244;206206;172172;189189;117117;160160;200200;114130;129129;172174;220220;116118;XX;1;-;;;;;;;Breton;;Refuge Trémeau;;1008302;6382363;
S04_2020;655583;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-016;Mâle;1;12;1;timidus;0,998;0,973;1;;243248;216216;172172;189189;117117;160160;200200;118130;125129;174182;215220;116118;XY;1;-;;;;;;;Breton;;Crête des Eyssalps;;1008131;6375402;
S04_2020;655584;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-016;Mâle;1;12;1;timidus;0,998;0,974;1;;243248;216216;172172;189189;117117;160160;200200;118130;125129;174182;215220;116118;XY;1;-;;;;;;;Breton;;Crête des Eyssalps;;1008547;6376315;
S04_2020;655585;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-017;Femelle;0,923076923076923;11;1;timidus;0,997;0,967;1;;243248;206218;172172;000000;117117;160170;200200;122122;125125;170174;215220;116118;XX;1;-;;;;;;;Lombard;;Tête Dure;;1008550;6380511;
S04_2020;655589;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-015;Femelle;1;12;1;timidus;0,998;0,976;1;;244244;206206;172172;189189;117117;160160;200200;114130;129129;172174;220220;116118;XX;1;-;;;;;;;Lombard;;L’Isalette;;1007739;6381520;
S04_2020;655590;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-098;Femelle;1;12;1;timidus;0,998;0,976;1;;243243;218218;172172;189189;117117;160160;200200;114118;129129;174174;220220;116116;XX;1;-;;;;;;;Fribourg;;Vallon de Siguret;;1000985;6379634;
S04_2020;655594;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-018;Mâle;1;12;1;timidus;0,998;0,974;1;;244248;206206;172172;189189;117117;160160;200200;114118;125129;170182;220220;116118;XY;1;-;;;;;;;Lombard;;Ref Trémeau;;1007529;6382213;
S04_2020;655595;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-019;Mâle;0,923076923076923;11;1;timidus;0,997;0,962;1;;243248;218218;172172;189189;117121;160166;200200;118130;000000;174192;220220;116118;XY;1;-;;;;;;;Lombard;;L’Isalette;;1007735;6381744;
S04_2020;655597;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-020;Mâle;1;12;1;timidus;0,966;0,727;1;;244248;210210;172172;189189;117121;160160;200204;118122;122127;174188;215220;116116;XY;1;-;;;;;;;Lombard;;Baraquements viraysse;;1006000;6383393;
S04_2020;655599;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-019;Mâle;0,846153846153846;10;1;timidus;0,996;0,955;1;;000000;218218;172172;189189;117121;160166;200200;118130;000000;174192;220220;116118;XY;1;-;;;;;;;Lombard;;Riou du Pinet;;1006106;6383849;
S04_2020;655651;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-099;Mâle;0,923076923076923;11;1;europaeus;0,006;0;0,079;;249257;208208;172172;189189;117125;162162;200200;118134;127127;000000;206220;122122;XY;1;-;2020-02-07;;;;;;Orméa;;Balaour;0;1039341;6342881;
S04_2020;655674;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-100;Femelle;1;12;1;timidus;0,994;0,919;1;;243243;210218;172172;189191;117121;158160;200200;114130;122122;174174;215220;116118;XX;1;-;2020-02-20;;;;;;Guigo;;Frémamorte;0;1039737;6348245;
S04_2020;656449;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-101;Mâle;0,923076923076923;11;1;timidus;0,998;0,971;1;;248253;206206;172172;189189;117117;152160;200200;118122;000000;174174;220220;116118;XY;1;-;2020-01-13;;;;;;Roux;;;2337;983316;6357690;
S04_2020;656451;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-021;Femelle;1;12;1;timidus;0,997;0,963;1;;243248;208208;172172;189189;117117;158160;200200;114130;127129;174174;220220;118118;XX;1;-;2020-01-13;;;;;;Roux;;;2113;983149;6357076;
